step,i,j
567,1,1
567,1,2
567,1,3
568,0,2
568,1,2
568,2,2
569,1,1
569,1,2
569,1,3
570,0,2
570,1,2
570,2,2
571,1,1
571,1,2
571,1,3
572,0,2
572,1,2
572,2,2
573,1,1
573,1,2
573,1,3
574,0,2
574,1,2
574,2,2
575,1,1
575,1,2
575,1,3
576,0,2
576,1,2
576,2,2
577,1,1
577,1,2
577,1,3
578,0,2
578,1,2
578,2,2
579,1,1
579,1,2
579,1,3
580,0,2
580,1,2
580,2,2
581,1,1
581,1,2
581,1,3
582,0,2
582,1,2
582,2,2
583,1,1
583,1,2
583,1,3
584,0,2
584,1,2
584,2,2
585,1,1
585,1,2
585,1,3
586,0,2
586,1,2
586,2,2
587,1,1
587,1,2
587,1,3
588,0,2
588,1,2
588,2,2
589,1,1
589,1,2
589,1,3
590,0,2
590,1,2
590,2,2
591,1,1
591,1,2
591,1,3
592,0,2
592,1,2
592,2,2
593,1,1
593,1,2
593,1,3
594,0,2
594,1,2
594,2,2
595,1,1
595,1,2
595,1,3
596,0,2
596,1,2
596,2,2
597,1,1
597,1,2
597,1,3
598,0,2
598,1,2
598,2,2
599,1,1
599,1,2
599,1,3
600,0,2
600,1,2
600,2,2
601,1,1
601,1,2
601,1,3
602,0,2
602,1,2
602,2,2
603,1,1
603,1,2
603,1,3
604,0,2
604,1,2
604,2,2
605,1,1
605,1,2
605,1,3
606,0,2
606,1,2
606,2,2
607,1,1
607,1,2
607,1,3
608,0,2
608,1,2
608,2,2
609,1,1
609,1,2
609,1,3
610,0,2
610,1,2
610,2,2
611,1,1
611,1,2
611,1,3
612,0,2
612,1,2
612,2,2
613,1,1
613,1,2
613,1,3
614,0,2
614,1,2
614,2,2
615,1,1
615,1,2
615,1,3
616,0,2
616,1,2
616,2,2
617,1,1
617,1,2
617,1,3
618,0,2
618,1,2
618,2,2
619,1,1
619,1,2
619,1,3
620,0,2
620,1,2
620,2,2
621,1,1
621,1,2
621,1,3
622,0,2
622,1,2
622,2,2
623,1,1
623,1,2
623,1,3
624,0,2
624,1,2
624,2,2
625,1,1
625,1,2
625,1,3
626,0,2
626,1,2
626,2,2
627,1,1
627,1,2
627,1,3
628,0,2
628,1,2
628,2,2
629,1,1
629,1,2
629,1,3
630,0,2
630,1,2
630,2,2
631,1,1
631,1,2
631,1,3
632,0,2
632,1,2
632,2,2
633,1,1
633,1,2
633,1,3
634,0,2
634,1,2
634,2,2
635,1,1
635,1,2
635,1,3
636,0,2
636,1,2
636,2,2
637,1,1
637,1,2
637,1,3
638,0,2
638,1,2
638,2,2
639,1,1
639,1,2
639,1,3
640,0,2
640,1,2
640,2,2
641,1,1
641,1,2
641,1,3
642,0,2
642,1,2
642,2,2
643,1,1
643,1,2
643,1,3
644,0,2
644,1,2
644,2,2
645,1,1
645,1,2
645,1,3
646,0,2
646,1,2
646,2,2
647,1,1
647,1,2
647,1,3
648,0,2
648,1,2
648,2,2
649,1,1
649,1,2
649,1,3
650,0,2
650,1,2
650,2,2
651,1,1
651,1,2
651,1,3
652,0,2
652,1,2
652,2,2
653,1,1
653,1,2
653,1,3
654,0,2
654,1,2
654,2,2
655,1,1
655,1,2
655,1,3
656,0,2
656,1,2
656,2,2
657,1,1
657,1,2
657,1,3
658,0,2
658,1,2
658,2,2
659,1,1
659,1,2
659,1,3
660,0,2
660,1,2
660,2,2
661,1,1
661,1,2
661,1,3
662,0,2
662,1,2
662,2,2
663,1,1
663,1,2
663,1,3
664,0,2
664,1,2
664,2,2
665,1,1
665,1,2
665,1,3
666,0,2
666,1,2
666,2,2
667,1,1
667,1,2
667,1,3
668,0,2
668,1,2
668,2,2
669,1,1
669,1,2
669,1,3
670,0,2
670,1,2
670,2,2
671,1,1
671,1,2
671,1,3
672,0,2
672,1,2
672,2,2
673,1,1
673,1,2
673,1,3
674,0,2
674,1,2
674,2,2
675,1,1
675,1,2
675,1,3
676,0,2
676,1,2
676,2,2
677,1,1
677,1,2
677,1,3
678,0,2
678,1,2
678,2,2
679,1,1
679,1,2
679,1,3
680,0,2
680,1,2
680,2,2
681,1,1
681,1,2
681,1,3
682,0,2
682,1,2
682,2,2
683,1,1
683,1,2
683,1,3
684,0,2
684,1,2
684,2,2
685,1,1
685,1,2
685,1,3
686,0,2
686,1,2
686,2,2
687,1,1
687,1,2
687,1,3
688,0,2
688,1,2
688,2,2
689,1,1
689,1,2
689,1,3
690,0,2
690,1,2
690,2,2
691,1,1
691,1,2
691,1,3
692,0,2
692,1,2
692,2,2
693,1,1
693,1,2
693,1,3
694,0,2
694,1,2
694,2,2
695,1,1
695,1,2
695,1,3
696,0,2
696,1,2
696,2,2
697,1,1
697,1,2
697,1,3
698,0,2
698,1,2
698,2,2
699,1,1
699,1,2
699,1,3
700,0,2
700,1,2
700,2,2
701,1,1
701,1,2
701,1,3
702,0,2
702,1,2
702,2,2
703,1,1
703,1,2
703,1,3
704,0,2
704,1,2
704,2,2
705,1,1
705,1,2
705,1,3
706,0,2
706,1,2
706,2,2
707,1,1
707,1,2
707,1,3
708,0,2
708,1,2
708,2,2
709,1,1
709,1,2
709,1,3
710,0,2
710,1,2
710,2,2
711,1,1
711,1,2
711,1,3
712,0,2
712,1,2
712,2,2
713,1,1
713,1,2
713,1,3
714,0,2
714,1,2
714,2,2
715,1,1
715,1,2
715,1,3
716,0,2
716,1,2
716,2,2
717,1,1
717,1,2
717,1,3
718,0,2
718,1,2
718,2,2
719,1,1
719,1,2
719,1,3
720,0,2
720,1,2
720,2,2
721,1,1
721,1,2
721,1,3
722,0,2
722,1,2
722,2,2
723,1,1
723,1,2
723,1,3
724,0,2
724,1,2
724,2,2
725,1,1
725,1,2
725,1,3
726,0,2
726,1,2
726,2,2
727,1,1
727,1,2
727,1,3
728,0,2
728,1,2
728,2,2
729,1,1
729,1,2
729,1,3
730,0,2
730,1,2
730,2,2
731,1,1
731,1,2
731,1,3
732,0,2
732,1,2
732,2,2
733,1,1
733,1,2
733,1,3
734,0,2
734,1,2
734,2,2
735,1,1
735,1,2
735,1,3
736,0,2
736,1,2
736,2,2
737,1,1
737,1,2
737,1,3
738,0,2
738,1,2
738,2,2
739,1,1
739,1,2
739,1,3
740,0,2
740,1,2
740,2,2
