step,i,j
233,1,3
234,0,2
234,1,2
234,2,2
235,1,1
235,1,2
235,1,3
236,0,2
236,1,2
236,2,2
237,1,1
237,1,2
237,1,3
238,0,2
238,1,2
238,2,2
239,1,1
239,1,2
239,1,3
240,0,2
240,1,2
240,2,2
241,1,1
241,1,2
241,1,3
242,0,2
242,1,2
242,2,2
243,1,1
243,1,2
243,1,3
244,0,2
244,1,2
244,2,2
245,1,1
245,1,2
245,1,3
246,0,2
246,1,2
246,2,2
247,1,1
247,1,2
247,1,3
248,0,2
248,1,2
248,2,2
249,1,1
249,1,2
249,1,3
250,0,2
250,1,2
250,2,2
251,1,1
251,1,2
251,1,3
252,0,2
252,1,2
252,2,2
253,1,1
253,1,2
253,1,3
254,0,2
254,1,2
254,2,2
255,1,1
255,1,2
255,1,3
256,0,2
256,1,2
256,2,2
